Warning: total_len is larger than the maximum possible length. 
Setting total_len to the maximum possible length. 
Warning: access length of dataset by len(dataset) to get the actual length. 
[20/63] Loss: 0.0632, Accuracy: 0.9829
[30/63] Loss: 0.0712, Accuracy: 0.9788
[40/63] Loss: 0.0700, Accuracy: 0.9802
[50/63] Loss: 0.0713, Accuracy: 0.9792
[60/63] Loss: 0.0738, Accuracy: 0.9781
[0/16] Loss: 0.0028, Accuracy: 1.0000
[10/16] Loss: 0.0027, Accuracy: 1.0000
Epoch [35/100] Train Loss: 0.0741, Train Accuracy: 0.9782, Val Loss: 0.0027, Val Accuracy: 1.0000
[0/63] Loss: 0.0687, Accuracy: 0.9688
[10/63] Loss: 0.0890, Accuracy: 0.9652
[20/63] Loss: 0.0697, Accuracy: 0.9740
[30/63] Loss: 0.0594, Accuracy: 0.9791
[40/63] Loss: 0.0605, Accuracy: 0.9794
[50/63] Loss: 0.0605, Accuracy: 0.9792
[60/63] Loss: 0.0599, Accuracy: 0.9794
[0/16] Loss: 0.0018, Accuracy: 1.0000
[10/16] Loss: 0.0020, Accuracy: 1.0000
Epoch [36/100] Train Loss: 0.0592, Train Accuracy: 0.9799, Val Loss: 0.0020, Val Accuracy: 1.0000
[0/63] Loss: 0.0417, Accuracy: 0.9844
[10/63] Loss: 0.0612, Accuracy: 0.9787
[20/63] Loss: 0.0553, Accuracy: 0.9818
[30/63] Loss: 0.0596, Accuracy: 0.9801
[40/63] Loss: 0.0570, Accuracy: 0.9808
[50/63] Loss: 0.0638, Accuracy: 0.9773
[60/63] Loss: 0.0640, Accuracy: 0.9772
[0/16] Loss: 0.0018, Accuracy: 1.0000
[10/16] Loss: 0.0019, Accuracy: 1.0000
Epoch [37/100] Train Loss: 0.0636, Train Accuracy: 0.9772, Val Loss: 0.0019, Val Accuracy: 1.0000
[0/63] Loss: 0.0579, Accuracy: 0.9766
[10/63] Loss: 0.0581, Accuracy: 0.9801
[20/63] Loss: 0.0600, Accuracy: 0.9799
[30/63] Loss: 0.0571, Accuracy: 0.9814
[40/63] Loss: 0.0571, Accuracy: 0.9825
[50/63] Loss: 0.0540, Accuracy: 0.9835
[60/63] Loss: 0.0561, Accuracy: 0.9834
[0/16] Loss: 0.0042, Accuracy: 1.0000
[10/16] Loss: 0.0064, Accuracy: 1.0000
Epoch [38/100] Train Loss: 0.0571, Train Accuracy: 0.9829, Val Loss: 0.0063, Val Accuracy: 1.0000
[0/63] Loss: 0.0260, Accuracy: 1.0000
[10/63] Loss: 0.0536, Accuracy: 0.9865
[20/63] Loss: 0.0622, Accuracy: 0.9803
[30/63] Loss: 0.0695, Accuracy: 0.9793
[40/63] Loss: 0.0627, Accuracy: 0.9813
[50/63] Loss: 0.0618, Accuracy: 0.9812
[60/63] Loss: 0.0572, Accuracy: 0.9834
[0/16] Loss: 0.0023, Accuracy: 1.0000
[10/16] Loss: 0.0028, Accuracy: 1.0000
Epoch [39/100] Train Loss: 0.0567, Train Accuracy: 0.9835, Val Loss: 0.0028, Val Accuracy: 1.0000
[0/63] Loss: 0.0687, Accuracy: 0.9844
[10/63] Loss: 0.0516, Accuracy: 0.9851
[20/63] Loss: 0.0514, Accuracy: 0.9825
[30/63] Loss: 0.0471, Accuracy: 0.9851
[40/63] Loss: 0.0472, Accuracy: 0.9846
[50/63] Loss: 0.0453, Accuracy: 0.9848
[60/63] Loss: 0.0457, Accuracy: 0.9853
[0/16] Loss: 0.0012, Accuracy: 1.0000
[10/16] Loss: 0.0015, Accuracy: 1.0000
Epoch [40/100] Train Loss: 0.0451, Train Accuracy: 0.9855, Val Loss: 0.0015, Val Accuracy: 1.0000
[0/63] Loss: 0.0584, Accuracy: 0.9922
[10/63] Loss: 0.0815, Accuracy: 0.9716
[20/63] Loss: 0.0598, Accuracy: 0.9814
[30/63] Loss: 0.0554, Accuracy: 0.9829
[40/63] Loss: 0.0527, Accuracy: 0.9844
[50/63] Loss: 0.0503, Accuracy: 0.9851
[60/63] Loss: 0.0475, Accuracy: 0.9859
[0/16] Loss: 0.0008, Accuracy: 1.0000
[10/16] Loss: 0.0009, Accuracy: 1.0000
Epoch [41/100] Train Loss: 0.0466, Train Accuracy: 0.9862, Val Loss: 0.0009, Val Accuracy: 1.0000
[0/63] Loss: 0.0238, Accuracy: 0.9844
[10/63] Loss: 0.0728, Accuracy: 0.9737
[20/63] Loss: 0.0701, Accuracy: 0.9747
[30/63] Loss: 0.0730, Accuracy: 0.9738
[40/63] Loss: 0.0656, Accuracy: 0.9768
[50/63] Loss: 0.0590, Accuracy: 0.9796
[60/63] Loss: 0.0593, Accuracy: 0.9801
[0/16] Loss: 0.0019, Accuracy: 1.0000
[10/16] Loss: 0.0024, Accuracy: 1.0000
